,Airline,Departure_time,Departure_airport,Arrival_time,Arrival_airport,Duration,Flight_numbers,Alibaba_price,MrBilit_price
7,Qatar Airways,22:50,IKA,16:45,OSL,17 ساعت و 55 دقیقه,"499, 159, 1460",,107533000.0
11,Qatar Airways,22:50,IKA,13:40,OSL,14 ساعت و 50 دقیقه,"499, 161, 1456",,134971000.0
12,Qatar Airways,04:45,IKA,18:15,OSL,13 ساعت و 30 دقیقه,"491, 159, 1468",,134971000.0
13,Qatar Airways,04:45,IKA,22:00,OSL,17 ساعت و 15 دقیقه,"491, 159, 1472",,134971000.0
14,Qatar Airways,22:50,IKA,16:45,OSL,17 ساعت و 55 دقیقه,"499, 161, 1460",,134971000.0
15,Qatar Airways,22:50,IKA,09:15,OSL,10 ساعت و 25 دقیقه,"499, 161, 1462",,134971000.0
16,Qatar Airways,22:50,IKA,13:00,OSL,14 ساعت و 10 دقیقه,"499, 161, 1458",,134971000.0
17,Qatar Airways,04:45,IKA,16:45,OSL,12 ساعت,"491, 159, 1460",,134971000.0
18,Qatar Airways,04:45,IKA,19:30,OSL,14 ساعت و 45 دقیقه,"491, 159, 462",,134971000.0
21,Qatar Airways,22:50,IKA,10:25,OSL,11 ساعت و 35 دقیقه,"499, 169, 483",,172881000.0
23,Qatar Airways,22:50,IKA,16:35,OSL,17 ساعت و 45 دقیقه,"499, 169, 491",,172881000.0
25,Austrian Airline,03:45,IKA,19:30,OSL,15 ساعت و 45 دقیقه,"872, 301, 462",,202185000.0
26,Austrian Airline,03:45,IKA,13:40,OSL,9 ساعت و 55 دقیقه,"872, 301, 1456",,202185000.0
27,Austrian Airline,03:45,IKA,18:15,OSL,14 ساعت و 30 دقیقه,"872, 301, 1468",,202185000.0
28,Austrian Airline,03:45,IKA,16:45,OSL,13 ساعت,"872, 301, 1460",,202185000.0
30,Austrian Airline,03:45,IKA,22:00,OSL,18 ساعت و 15 دقیقه,"872, 301, 1472",,203577000.0
31,Emirates,00:50,IKA,20:50,OSL,20 ساعت,"2491, 147, 828",,227316000.0
32,Austrian Airline,03:45,IKA,22:00,OSL,18 ساعت و 15 دقیقه,"872, 305, 1472",,240762000.0
36,Emirates,04:30,IKA,20:50,OSL,16 ساعت و 20 دقیقه,"978, 147, 828",,350776000.0
37,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 114, 2456",,352484000.0
39,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 98, 2456",,352484000.0
40,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 104, 2456",,352484000.0
41,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 106, 2456",,352484000.0
43,Qatar Airways,22:50,IKA,08:05,OSL,33 ساعت و 15 دقیقه,"499, 301, 6184",,352895000.0
44,Qatar Airways,04:45,IKA,16:35,OSL,11 ساعت و 50 دقیقه,"491, 301, 915",,355799000.0
45,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 112, 2456",,357226000.0
47,Lufthansa,02:30,IKA,23:25,OSL,20 ساعت و 55 دقیقه,"601, 116, 2456",,357226000.0
49,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 106, 2452",,361110000.0
50,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 114, 2452",,361110000.0
51,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 104, 2452",,361110000.0
52,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 98, 2452",,361110000.0
54,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 122, 2452",,361110000.0
55,Lufthansa,02:30,IKA,11:05,OSL,32 ساعت و 35 دقیقه,"601, 116, 2452",,365736000.0
59,Lufthansa,02:30,IKA,18:15,OSL,15 ساعت و 45 دقیقه,"601, 826, 1468",,436497000.0
60,Lufthansa,02:30,IKA,18:15,OSL,15 ساعت و 45 دقیقه,"601, 824, 1468",,436497000.0
61,Lufthansa,02:30,IKA,16:45,OSL,14 ساعت و 15 دقیقه,"601, 824, 1460",,436497000.0
62,Lufthansa,02:30,IKA,16:45,OSL,14 ساعت و 15 دقیقه,"601, 826, 1460",,436497000.0
63,Lufthansa,02:30,IKA,13:40,OSL,11 ساعت و 10 دقیقه,"601, 824, 1456",,436497000.0
65,Lufthansa,02:30,IKA,19:30,OSL,17 ساعت,"601, 824, 462",,439149000.0
66,Lufthansa,02:30,IKA,22:00,OSL,19 ساعت و 30 دقیقه,"601, 824, 1472",,439149000.0
67,Lufthansa,02:30,IKA,19:30,OSL,17 ساعت,"601, 826, 462",,439149000.0
68,Lufthansa,02:30,IKA,22:00,OSL,19 ساعت و 30 دقیقه,"601, 826, 1472",,439149000.0
69,Lufthansa,02:30,IKA,15:00,OSL,36 ساعت و 30 دقیقه,"601, 876, 6037",,441411000.0
71,Lufthansa,02:30,IKA,11:30,OSL,33 ساعت,"601, 876, 6053",,441411000.0
73,Lufthansa,02:30,IKA,15:10,OSL,36 ساعت و 40 دقیقه,"601, 114, 6170",,452624000.0
75,Lufthansa,02:30,IKA,15:10,OSL,36 ساعت و 40 دقیقه,"601, 116, 6170",,457250000.0
76,Lufthansa,02:30,IKA,15:10,OSL,36 ساعت و 40 دقیقه,"601, 122, 6170",,457250000.0
78,Turkish Airlines,06:30,IKA,10:35,OSL,28 ساعت و 5 دقیقه,"873, 3410, 0",,461280000.0
79,Turkish Airlines,07:55,IKA,10:35,OSL,26 ساعت و 40 دقیقه,"879, 3410, 0",,461280000.0
86,Turkish Airlines,06:30,IKA,22:10,OSL,15 ساعت و 40 دقیقه,"873, 3419, 897",,472446000.0
88,Turkish Airlines,07:55,IKA,22:10,OSL,14 ساعت و 15 دقیقه,"879, 3419, 897",,472446000.0
89,Turkish Airlines,02:05,IKA,20:00,OSL,17 ساعت و 55 دقیقه,"881, 3419, 493",,474717000.0
90,Turkish Airlines,03:15,IKA,22:10,OSL,18 ساعت و 55 دقیقه,"875, 3419, 897",,474717000.0
91,Turkish Airlines,02:05,IKA,22:10,OSL,20 ساعت و 5 دقیقه,"881, 3419, 897",,475088000.0
